datetime,instrument,target,type
2024-04-01,PLTR,0.05,rebalance
2024-04-01,VST,0.05,rebalance
2024-04-01,ENPH,0.05,rebalance
2024-04-01,MU,0.05,rebalance
2024-04-01,CCL,0.05,rebalance
2024-04-01,TECH,0.05,rebalance
2024-04-01,PODD,0.05,rebalance
2024-04-01,RMD,0.05,rebalance
2024-04-01,MPWR,0.05,rebalance
2024-04-01,WBA,0.05,rebalance
2024-04-01,ALB,0.05,rebalance
2024-04-01,CHTR,0.05,rebalance
2024-04-01,BXP,0.05,rebalance
2024-04-01,CDNS,0.05,rebalance
2024-04-01,PYPL,0.05,rebalance
2024-04-01,EQIX,0.05,rebalance
2024-04-01,UHS,0.05,rebalance
2024-04-01,CHRW,0.05,rebalance
2024-04-01,HD,0.05,rebalance
2024-04-01,HIG,0.05,rebalance
2024-04-08,MU,0.05,rebalance
2024-04-08,SMCI,0.05,rebalance
2024-04-08,VST,0.05,rebalance
2024-04-08,ON,0.05,rebalance
2024-04-08,CDNS,0.05,rebalance
2024-04-08,IBKR,0.05,rebalance
2024-04-08,PSX,0.05,rebalance
2024-04-08,PSKY,0.05,rebalance
2024-04-08,WDC,0.05,rebalance
2024-04-08,HUM,0.05,rebalance
2024-04-08,ICE,0.05,rebalance
2024-04-08,INTC,0.05,rebalance
2024-04-08,ALB,0.05,rebalance
2024-04-08,MRNA,0.05,rebalance
2024-04-08,CF,0.05,rebalance
2024-04-08,ENPH,0.05,rebalance
2024-04-08,FSLR,0.05,rebalance
2024-04-08,EPAM,0.05,rebalance
2024-04-08,CHTR,0.05,rebalance
2024-04-08,GE,0.05,rebalance
2024-04-08,BXP,0.0,close_nonmember
2024-04-08,CCL,0.0,close_nonmember
2024-04-08,CHRW,0.0,close_nonmember
2024-04-08,EQIX,0.0,close_nonmember
2024-04-08,HD,0.0,close_nonmember
2024-04-08,HIG,0.0,close_nonmember
2024-04-08,MPWR,0.0,close_nonmember
2024-04-08,PLTR,0.0,close_nonmember
2024-04-08,PODD,0.0,close_nonmember
2024-04-08,PYPL,0.0,close_nonmember
2024-04-08,RMD,0.0,close_nonmember
2024-04-08,TECH,0.0,close_nonmember
2024-04-08,UHS,0.0,close_nonmember
2024-04-08,WBA,0.0,close_nonmember
2024-04-15,GLW,0.05,rebalance
2024-04-15,GNRC,0.05,rebalance
2024-04-15,GL,0.05,rebalance
2024-04-15,F,0.05,rebalance
2024-04-15,SMCI,0.05,rebalance
2024-04-15,VST,0.05,rebalance
2024-04-15,ENPH,0.05,rebalance
2024-04-15,AES,0.05,rebalance
2024-04-15,PLTR,0.05,rebalance
2024-04-15,ALB,0.05,rebalance
2024-04-15,TTD,0.05,rebalance
2024-04-15,CDNS,0.05,rebalance
2024-04-15,GEV,0.05,rebalance
2024-04-15,CCL,0.05,rebalance
2024-04-15,BXP,0.05,rebalance
2024-04-15,IP,0.05,rebalance
2024-04-15,TSLA,0.05,rebalance
2024-04-15,TPR,0.05,rebalance
2024-04-15,CRM,0.05,rebalance
2024-04-15,ALGN,0.05,rebalance
2024-04-15,CHRW,0.0,close_nonmember
2024-04-15,CHTR,0.0,close_nonmember
2024-04-15,EQIX,0.0,close_nonmember
2024-04-15,HD,0.0,close_nonmember
2024-04-15,HIG,0.0,close_nonmember
2024-04-15,MPWR,0.0,close_nonmember
2024-04-15,MU,0.0,close_nonmember
2024-04-15,PODD,0.0,close_nonmember
2024-04-15,PYPL,0.0,close_nonmember
2024-04-15,RMD,0.0,close_nonmember
2024-04-15,TECH,0.0,close_nonmember
2024-04-15,UHS,0.0,close_nonmember
2024-04-22,SMCI,0.05,rebalance
2024-04-22,ALB,0.05,rebalance
2024-04-22,GL,0.05,rebalance
2024-04-22,GNRC,0.05,rebalance
2024-04-22,GEV,0.05,rebalance
2024-04-22,GLW,0.05,rebalance
2024-04-22,VST,0.05,rebalance
2024-04-22,ENPH,0.05,rebalance
2024-04-22,TSLA,0.05,rebalance
