datetime,instrument,target,type
2024-04-01,PLTR,-0.03406313505734662,rebalance
2024-04-01,VST,0.04,rebalance
2024-04-01,ENPH,-0.05336781424726386,rebalance
2024-04-01,MU,0.04,rebalance
2024-04-01,CCL,0.04,rebalance
2024-04-01,TECH,0.05089638369735857,rebalance
2024-04-01,PODD,0.02309731274994574,rebalance
2024-04-01,RMD,0.03538836053855916,rebalance
2024-04-01,MPWR,0.04,rebalance
2024-04-01,WBA,-0.007310914161731076,rebalance
2024-04-01,ALB,0.03488855348350861,rebalance
2024-04-01,CHTR,1.0566277162556344e-08,rebalance
2024-04-01,BXP,-0.015751061088751205,rebalance
2024-04-01,CDNS,0.04,rebalance
2024-04-01,PYPL,0.04,rebalance
2024-04-01,EQIX,0.02404253709296642,rebalance
2024-04-01,UHS,0.04,rebalance
2024-04-01,CHRW,0.04,rebalance
2024-04-01,HD,0.04,rebalance
2024-04-01,HIG,0.04,rebalance
2024-04-01,WDC,0.0646225765957076,rebalance
2024-04-01,HWM,0.04,rebalance
2024-04-01,MMM,0.04,rebalance
2024-04-01,LEN,0.03025443206704887,rebalance
2024-04-01,INTC,0.04,rebalance
2024-04-01,SMCI,-0.04,rebalance
2024-04-01,KIM,0.044460750963655746,rebalance
2024-04-01,ALGN,0.019319059090153138,rebalance
2024-04-01,INTU,0.04301072531773941,rebalance
2024-04-01,AVGO,0.04,rebalance
2024-04-01,PRU,-0.03414979004815293,rebalance
2024-04-01,WRB,-0.000704046251001799,rebalance
2024-04-01,COR,-0.024454357992711284,rebalance
2024-04-01,AON,-0.0025349903843471353,rebalance
2024-04-01,AVY,-0.04,rebalance
2024-04-01,CVS,-0.04,rebalance
2024-04-01,CZR,-0.01830286480310437,rebalance
2024-04-01,DD,-0.028753786018611754,rebalance
2024-04-01,DELL,-0.04,rebalance
2024-04-01,DG,-0.041599192723923276,rebalance
2024-04-01,HLT,-0.04,rebalance
2024-04-01,KHC,0.02561324629677247,rebalance
2024-04-01,LMT,-0.04774284543423477,rebalance
2024-04-01,LNT,-0.04,rebalance
2024-04-01,RTX,-0.03973437864387137,rebalance
2024-04-01,SBAC,-0.04070644923975616,rebalance
2024-04-01,WMB,-0.001534214096059691,rebalance
2024-04-01,KO,0.02486144845118975,rebalance
2024-04-01,SPY,-7.09503798871929e-08,rebalance
2024-04-01,STE,-0.04,rebalance
2024-04-01,WTW,-0.04414919325974729,rebalance
2024-04-01,TRV,-0.038790814795868406,rebalance
2024-04-01,AFL,0.017683146668773707,rebalance
2024-04-01,FI,-0.04,rebalance
2024-04-01,OKE,0.001861456420343449,rebalance
2024-04-01,ORCL,-0.04,rebalance
2024-04-01,TXT,-0.04243099464593555,rebalance
2024-04-01,BRK-B,-0.042318963279362826,rebalance
2024-04-01,EMR,-0.04,rebalance
2024-04-01,RSG,-0.0416001228778387,rebalance
2024-04-08,MU,0.05286562277781782,rebalance
2024-04-08,SMCI,-0.04,rebalance
2024-04-08,VST,0.04,rebalance
2024-04-08,ON,0.06046522180904627,rebalance
2024-04-08,CDNS,-0.0017537152795741853,rebalance
2024-04-08,IBKR,0.04,rebalance
2024-04-08,PSX,0.014007845775541167,rebalance
2024-04-08,PSKY,0.020436613722113178,rebalance
2024-04-08,WDC,0.06190397916866749,rebalance
2024-04-08,HUM,0.04,rebalance
2024-04-08,ICE,0.04,rebalance
2024-04-08,INTC,0.05604635052076337,rebalance
2024-04-08,ALB,0.004940607526991196,rebalance
2024-04-08,MRNA,0.042758004312909784,rebalance
2024-04-08,CF,0.04,rebalance
2024-04-08,ENPH,-0.01809050065474133,rebalance
2024-04-08,FSLR,0.06981276732228603,rebalance
2024-04-08,EPAM,0.040477494033993,rebalance
2024-04-08,CHTR,-0.012695323693115608,rebalance
2024-04-08,GE,0.04,rebalance
2024-04-08,FDS,0.04,rebalance
2024-04-08,STX,0.030000851199389736,rebalance
2024-04-08,MPWR,0.042043032542501246,rebalance
2024-04-08,KR,0.04,rebalance
2024-04-08,APA,-0.008701717587760343,rebalance
2024-04-08,TROW,0.04,rebalance
2024-04-08,UNH,0.04,rebalance
2024-04-08,BA,0.04,rebalance
2024-04-08,APTV,0.04,rebalance
2024-04-08,WBA,0.006473327281204054,rebalance
2024-04-08,MA,-0.044657648165808646,rebalance
2024-04-08,NTAP,-0.04,rebalance
2024-04-08,WFC,-0.04,rebalance
2024-04-08,AKAM,-0.04,rebalance
2024-04-08,JNJ,-0.04,rebalance
2024-04-08,REGN,-0.04,rebalance
2024-04-08,RF,-0.04077901127843092,rebalance
2024-04-08,DUK,-0.014727362879969078,rebalance
2024-04-08,FE,-0.04691969306195789,rebalance
2024-04-08,SPGI,-0.03857027707046294,rebalance
2024-04-08,WMT,-0.019565546463445254,rebalance
2024-04-08,MSI,-0.04,rebalance
2024-04-08,BRK-B,-0.03660601801359272,rebalance
2024-04-08,LIN,-0.04,rebalance
2024-04-08,LKQ,-0.021621398923098705,rebalance
2024-04-08,NOC,0.0025279537967724847,rebalance
2024-04-08,AFL,0.01524032821000317,rebalance
2024-04-08,BALL,-0.04216722066447073,rebalance
2024-04-08,MET,-0.02916773465238967,rebalance
2024-04-08,PRU,-0.03763534128083256,rebalance
2024-04-08,KHC,-0.004232779673024568,rebalance
2024-04-08,RSG,-0.03643824310695832,rebalance
2024-04-08,KO,-0.046377012428798096,rebalance
2024-04-08,EMR,-0.04,rebalance
2024-04-08,NDSN,-0.009095457522847145,rebalance
2024-04-08,SNA,-0.04,rebalance
2024-04-08,TRV,-0.043667685773803686,rebalance
2024-04-08,TXT,-0.0065302629175299,rebalance
2024-04-08,SPY,-4.890738758301304e-08,rebalance
2024-04-08,STE,-0.04,rebalance
2024-04-08,ALGN,0.0,close_nonmember
2024-04-08,AON,0.0,close_nonmember
2024-04-08,AVGO,0.0,close_nonmember
2024-04-08,AVY,0.0,close_nonmember
2024-04-08,BXP,0.0,close_nonmember
2024-04-08,CCL,0.0,close_nonmember
2024-04-08,CHRW,0.0,close_nonmember
2024-04-08,COR,0.0,close_nonmember
2024-04-08,CVS,0.0,close_nonmember
2024-04-08,CZR,0.0,close_nonmember
2024-04-08,DD,0.0,close_nonmember
2024-04-08,DELL,0.0,close_nonmember
2024-04-08,DG,0.0,close_nonmember
2024-04-08,EQIX,0.0,close_nonmember
2024-04-08,FI,0.0,close_nonmember
2024-04-08,HD,0.0,close_nonmember
2024-04-08,HIG,0.0,close_nonmember
2024-04-08,HLT,0.0,close_nonmember
2024-04-08,HWM,0.0,close_nonmember
2024-04-08,INTU,0.0,close_nonmember
2024-04-08,KIM,0.0,close_nonmember
2024-04-08,LEN,0.0,close_nonmember
2024-04-08,LMT,0.0,close_nonmember
2024-04-08,LNT,0.0,close_nonmember
2024-04-08,MMM,0.0,close_nonmember
2024-04-08,OKE,0.0,close_nonmember
2024-04-08,ORCL,0.0,close_nonmember
2024-04-08,PLTR,0.0,close_nonmember
2024-04-08,PODD,0.0,close_nonmember
2024-04-08,PYPL,0.0,close_nonmember
2024-04-08,RMD,0.0,close_nonmember
2024-04-08,RTX,0.0,close_nonmember
2024-04-08,SBAC,0.0,close_nonmember
2024-04-08,TECH,0.0,close_nonmember
2024-04-08,UHS,0.0,close_nonmember
2024-04-08,WMB,0.0,close_nonmember
2024-04-08,WRB,0.0,close_nonmember
2024-04-08,WTW,0.0,close_nonmember
2024-04-15,GLW,0.04,rebalance
2024-04-15,GNRC,0.04,rebalance
2024-04-15,GL,0.04,rebalance
2024-04-15,F,-0.022773649261756995,rebalance
2024-04-15,SMCI,-0.04,rebalance
2024-04-15,VST,0.04,rebalance
2024-04-15,ENPH,-0.04663269960187575,rebalance
2024-04-15,AES,0.04006439526542795,rebalance
2024-04-15,PLTR,-0.030987989079891226,rebalance
2024-04-15,ALB,-2.500052575996168e-09,rebalance
2024-04-15,TTD,0.04,rebalance
2024-04-15,CDNS,0.005931485574414827,rebalance
2024-04-15,GEV,0.04,rebalance
2024-04-15,CCL,0.04,rebalance
2024-04-15,BXP,0.03746210001521219,rebalance
2024-04-15,IP,0.06091715470739316,rebalance
2024-04-15,TSLA,0.04,rebalance
2024-04-15,TPR,-0.0039222958076454255,rebalance
2024-04-15,CRM,0.04,rebalance
2024-04-15,ALGN,0.04,rebalance
2024-04-15,KMX,-0.05328536844523092,rebalance
2024-04-15,RCL,0.044461531276884486,rebalance
2024-04-15,ON,0.045872528642804646,rebalance
2024-04-15,DASH,0.008691677214039878,rebalance
2024-04-15,NRG,0.04,rebalance
2024-04-15,BEN,0.05308080619510626,rebalance
